timestamp,msg_type,scan_index,dist_or_yaw,pulse_L_or_ax,pulse_R_or_ay,az,gz
12:52:45.341,S,4,152.0,93.8,101.2,,
12:52:45.469,S,4,154.0,94.7,101.2,,
12:52:45.534,S,4,156.0,94.7,101.2,,
12:52:45.661,S,4,158.0,93.8,101.1,,
12:52:45.789,S,4,160.0,93.3,100.7,,
12:52:45.901,S,4,162.0,93.3,100.7,,
12:52:46.029,S,4,164.0,93.3,101.1,,
12:52:46.093,S,4,166.0,94.2,100.6,,
12:52:46.276,S,4,168.0,94.1,100.6,,
12:52:46.339,S,4,170.0,93.7,100.2,,
12:52:46.467,S,4,172.0,92.9,100.2,,
12:52:46.589,S,4,174.0,93.3,100.2,,
12:52:46.717,S,4,176.0,93.3,100.2,,
12:52:46.781,S,4,178.0,93.3,100.6,,
12:52:46.907,S,4,180.0,93.3,100.6,,
12:52:47.341,STEP,5,10.3,0.07,-0.003,1.024,1.75
12:52:48.030,S,5,0.0,108.7,84.4,,
12:52:48.157,S,5,2.0,104.6,84.8,,
12:52:48.285,S,5,4.0,101.7,84.4,,
12:52:48.338,S,5,6.0,106.2,85.2,,
12:52:48.463,S,5,8.0,103.8,85.2,,
12:52:48.589,S,5,10.0,101.7,85.2,,
12:52:48.716,S,5,12.0,100.6,84.8,,
12:52:48.780,S,5,14.0,105.2,85.2,,
12:52:48.906,S,5,16.0,99.0,84.9,,
12:52:49.032,S,5,18.0,101.5,85.8,,
12:52:49.174,S,5,20.0,106.8,85.7,,
12:52:49.293,S,5,22.0,108.9,85.8,,
12:52:49.421,S,5,24.0,107.2,86.2,,
12:52:49.485,S,5,26.0,109.4,87.1,,
12:52:49.613,S,5,28.0,106.4,87.2,,
12:52:49.741,S,5,30.0,110.8,94.4,,
12:52:49.853,S,5,32.0,111.2,93.2,,
12:52:49.981,S,5,34.0,109.4,93.3,,
12:52:50.046,S,5,36.0,110.4,93.7,,
12:52:50.173,S,5,38.0,110.8,94.5,,
12:52:50.290,S,5,40.0,105.3,95.4,,
12:52:50.417,S,5,42.0,101.2,95.0,,
12:52:50.540,S,5,44.0,99.9,95.8,,
12:52:50.668,S,5,46.0,106.5,95.8,,
12:52:50.733,S,5,48.0,102.1,95.5,,
12:52:50.859,S,5,50.0,98.2,95.5,,
12:52:50.985,S,5,52.0,103.1,41.9,,
12:52:51.111,S,5,54.0,134.7,41.4,,
12:52:51.173,S,5,56.0,133.9,41.0,,
12:52:51.293,S,5,58.0,101.0,40.5,,
12:52:51.421,S,5,60.0,49.1,40.5,,
12:52:51.485,S,5,62.0,49.1,40.1,,
12:52:51.613,S,5,64.0,48.2,40.0,,
12:52:51.676,S,5,66.0,48.2,40.0,,
12:52:51.802,S,5,68.0,48.2,40.4,,
12:52:51.854,S,5,70.0,48.6,39.6,,
12:52:51.981,S,5,72.0,47.7,39.6,,
12:52:52.045,S,5,74.0,47.7,39.6,,
12:52:52.173,S,5,76.0,47.3,39.5,,
12:52:52.237,S,5,78.0,47.3,40.0,,
12:52:52.365,S,5,80.0,47.3,39.5,,
12:52:52.480,S,5,82.0,48.2,39.5,,
12:52:52.541,S,5,84.0,47.8,39.5,,
12:52:52.667,S,5,86.0,47.8,39.5,,
12:52:52.731,S,5,88.0,47.8,39.5,,
12:52:52.857,S,5,90.0,47.4,39.5,,
12:52:52.920,S,5,92.0,47.8,39.9,,
12:52:53.046,S,5,94.0,48.6,39.6,,
12:52:53.106,S,5,96.0,47.8,39.6,,
12:52:53.229,S,5,98.0,48.3,39.9,,
12:52:53.294,S,5,100.0,47.9,40.0,,
12:52:53.421,S,5,102.0,48.4,40.0,,
12:52:53.485,S,5,104.0,48.4,40.0,,
12:52:53.612,S,5,106.0,49.3,40.5,,
12:52:53.674,S,5,108.0,49.3,40.5,,
12:52:53.799,S,5,110.0,88.3,40.9,,
12:52:53.918,S,5,112.0,91.7,41.4,,
12:52:53.982,S,5,114.0,90.0,41.8,,
12:52:54.109,S,5,116.0,90.1,42.3,,
12:52:54.236,S,5,118.0,131.1,44.0,,
12:52:54.362,S,5,120.0,135.3,118.4,,
12:52:54.424,S,5,122.0,95.6,118.0,,
12:52:54.606,S,5,124.0,137.9,116.6,,
12:52:54.734,S,5,126.0,105.9,113.8,,
12:52:54.798,S,5,128.0,125.9,117.8,,
12:52:54.925,S,5,130.0,116.6,116.6,,
12:52:55.053,S,5,132.0,111.8,116.5,,
12:52:55.166,S,5,134.0,117.5,112.8,,
12:52:55.293,S,5,136.0,109.0,111.5,,
12:52:55.422,S,5,138.0,115.4,111.1,,
12:52:55.550,S,5,140.0,114.2,110.6,,
12:52:55.677,S,5,142.0,97.1,110.2,,
12:52:55.805,S,5,144.0,97.5,110.9,,
12:52:55.917,S,5,146.0,95.1,109.7,,
12:52:56.045,S,5,148.0,87.7,110.1,,
12:52:56.167,S,5,150.0,86.5,110.0,,
12:52:56.230,S,5,152.0,87.3,110.4,,
12:52:56.356,S,5,154.0,86.4,109.5,,
12:52:56.483,S,5,156.0,85.5,109.5,,
12:52:56.605,S,5,158.0,85.9,109.5,,
12:52:56.734,S,5,160.0,85.0,109.1,,
12:52:56.860,S,5,162.0,85.1,108.6,,
12:52:56.922,S,5,164.0,85.9,109.4,,
12:52:57.048,S,5,166.0,84.6,108.2,,
12:52:57.174,S,5,168.0,85.0,108.6,,
12:52:57.293,S,5,170.0,85.5,108.5,,
12:52:57.421,S,5,172.0,85.4,109.4,,
12:52:57.485,S,5,174.0,85.4,109.0,,
12:52:57.613,S,5,176.0,85.4,109.0,,
12:52:57.741,S,5,178.0,85.0,109.0,,
12:52:57.805,S,5,180.0,85.0,109.4,,
12:52:58.237,STEP,6,10.3,0.119,-0.08,0.947,-0.66
12:52:58.982,S,6,0.0,118.3,71.4,,
12:52:59.044,S,6,2.0,111.8,72.3,,
12:52:59.173,S,6,4.0,118.3,70.9,,
12:52:59.293,S,6,6.0,96.7,76.4,,
12:52:59.357,S,6,8.0,106.3,76.4,,
12:52:59.485,S,6,10.0,109.4,76.4,,
12:52:59.613,S,6,12.0,117.6,77.3,,
12:52:59.738,S,6,14.0,99.3,76.5,,
12:52:59.853,S,6,16.0,118.0,76.9,,
12:52:59.918,S,6,18.0,111.7,77.4,,
12:53:00.046,S,6,20.0,117.1,77.8,,
12:53:00.173,S,6,22.0,110.1,78.3,,
12:53:00.302,S,6,24.0,109.7,78.7,,
12:53:00.430,S,6,26.0,114.0,79.6,,
12:53:00.493,S,6,28.0,115.6,85.6,,
12:53:00.622,S,6,30.0,116.8,85.6,,
12:53:00.750,S,6,32.0,117.3,85.7,,
12:53:00.870,S,6,34.0,119.2,85.6,,
12:53:00.996,S,6,36.0,118.2,86.5,,
12:53:01.058,S,6,38.0,112.4,86.1,,
12:53:01.184,S,6,40.0,112.9,86.5,,
12:53:01.309,S,6,42.0,120.2,86.6,,
12:53:01.437,S,6,44.0,106.2,87.4,,
12:53:01.564,S,6,46.0,121.6,87.1,,
12:53:01.689,S,6,48.0,112.9,87.1,,
12:53:01.753,S,6,50.0,52.1,87.1,,
12:53:01.870,S,6,52.0,52.6,43.3,,
12:53:01.934,S,6,54.0,50.8,41.6,,
12:53:02.062,S,6,56.0,51.2,41.2,,
12:53:02.125,S,6,58.0,49.9,40.7,,
12:53:02.253,S,6,60.0,49.9,40.7,,
12:53:02.317,S,6,62.0,50.4,40.2,,
12:53:02.441,S,6,64.0,50.3,39.8,,
12:53:02.505,S,6,66.0,50.3,39.8,,
12:53:02.622,S,6,68.0,49.5,39.7,,
12:53:02.750,S,6,70.0,49.5,39.3,,
12:53:02.814,S,6,72.0,49.5,39.3,,
12:53:02.941,S,6,74.0,49.5,39.3,,
12:53:03.004,S,6,76.0,49.4,39.3,,
12:53:03.130,S,6,78.0,49.5,39.2,,
12:53:03.193,S,6,80.0,50.3,39.2,,
12:53:03.309,S,6,82.0,49.9,39.3,,
12:53:03.373,S,6,84.0,49.9,39.3,,
